Entity,Code,Year,ag_land_index,labor_index,food_supply_per_capita
Canada,CAN,1963,95.6523,242.357,1.6228168
Canada,CAN,1964,96.4713,236.8224,1.8718069
Canada,CAN,1965,97.3207,231.5791,2.2700222
Canada,CAN,1966,98.0958,226.0445,2.437659
Canada,CAN,1967,98.2391,220.8012,2.9565125
Canada,CAN,1968,98.3824,214.9753,3.0903087
Canada,CAN,1969,98.5562,208.8582,3.0773067
Canada,CAN,1970,98.7387,197.3303,3.1199155
Canada,CAN,1971,98.9469,198.0084,2.96602
Canada,CAN,1972,99.315,187.4977,3.4566917
Canada,CAN,1973,99.6918,186.4805,4.086724
Canada,CAN,1974,100.0512,188.5148,4.1311893
Canada,CAN,1975,100.415,191.2273,3.4599626
Canada,CAN,1976,100.7836,157.2716,3.279004
Canada,CAN,1977,101.4034,153.1812,3.6805727
Canada,CAN,1978,102.0211,147.147,3.544035
Canada,CAN,1979,102.63,151.6748,3.7151906
Canada,CAN,1980,103.335,148.1428,3.6699233
Canada,CAN,1981,104.0408,148.3744,3.6922798
Canada,CAN,1982,104.6411,149.8757,3.647094
Canada,CAN,1983,105.2414,153.0798,3.6765075
Canada,CAN,1984,105.846,148.6497,3.6414347
Canada,CAN,1985,106.4637,152.3091,3.6098714
Canada,CAN,1986,106.8409,158.168,3.6986082
Canada,CAN,1987,106.7387,157.4811,3.3426104
Canada,CAN,1988,106.6187,152.7797,3.3523226
Canada,CAN,1989,106.4988,150.1741,3.3057647
Canada,CAN,1990,106.3745,148.8487,3.310095
Canada,CAN,1991,106.3465,152.1966,3.629124
Canada,CAN,1992,106.2903,148.9762,3.3501601
Canada,CAN,1993,106.2338,151.0529,3.3109043
Canada,CAN,1994,106.1773,148.2391,4.021361
Canada,CAN,1995,106.1207,142.1551,3.980757
Canada,CAN,1996,106.0682,141.6143,6.758206
Canada,CAN,1997,106.0658,139.7746,11.154118
Canada,CAN,1998,106.0658,142.4528,11.0586
Canada,CAN,1999,106.0658,137.0177,17.539356
Canada,CAN,2000,106.1095,125.8886,19.008474
Canada,CAN,2001,106.1267,109.3654,18.280699
Canada,CAN,2002,105.6563,109.7523,20.215187
Canada,CAN,2003,104.981,111.8822,20.821905
Canada,CAN,2004,104.3056,109.1718,19.841448
Canada,CAN,2005,103.6216,116.0075,19.66261
Canada,CAN,2006,102.6757,117.4095,19.467241
Canada,CAN,2007,101.7054,113.766,19.52312
Canada,CAN,2008,100.7352,111.9371,19.568817
Canada,CAN,2009,99.7649,110.8271,19.59234
Canada,CAN,2010,98.7947,103.9639,18.761414
Canada,CAN,2011,97.8143,104.3945,19.270212
Canada,CAN,2012,98.3607,103.6381,19.41796
Canada,CAN,2013,98.9063,106.4621,19.700212
Canada,CAN,2014,99.452,103.4577,16.530224
Canada,CAN,2015,100,100,19.459272
Canada,CAN,2016,100.5401,119.4153,18.738789
Canada,CAN,2017,100.479,94.8247,19.333508
Canada,CAN,2018,100.8972,94.0506,19.771193
Canada,CAN,2019,100.7915,97.5914,19.152899
China,CHN,1961,78.3411,90.9753,2.2895684
China,CHN,1962,77.3445,97.0908,2.3540053
China,CHN,1963,77.645,100.2132,2.4865174
China,CHN,1964,79.4875,103.436,2.618205
China,CHN,1965,79.7899,106.7624,2.6836128
China,CHN,1966,81.7135,110.5171,2.9451985
China,CHN,1967,81.2206,113.6157,3.072125
China,CHN,1968,79.4071,116.1571,2.962987
China,CHN,1969,80.2623,118.2311,2.9672313
China,CHN,1970,81.8976,126.904,3.039557
China,CHN,1971,83.595,128.3706,3.1911006
China,CHN,1972,85.2922,129.5561,2.8297675
China,CHN,1973,86.7625,130.5124,3.3321714
China,CHN,1974,87.6151,131.2825,3.6164277
China,CHN,1975,88.8265,134.4084,3.8933744
China,CHN,1976,88.5776,132.6549,3.8803384
China,CHN,1977,89.4068,130.9243,4.1855106
China,CHN,1978,90.0232,129.2162,4.65008
China,CHN,1979,89.4364,130.6577,4.7202587
China,CHN,1980,87.6919,132.8838,4.7779803
China,CHN,1981,87.2583,135.8718,4.4536386
China,CHN,1982,87.2536,140.806,4.4857945
China,CHN,1983,87.218,142.1363,4.9830236
China,CHN,1984,87.5229,140.8436,5.1505957
China,CHN,1985,87.7191,142.0373,4.4887004
China,CHN,1986,88.568,142.6027,4.527816
China,CHN,1987,88.9955,144.4688,4.3349524
China,CHN,1988,89.8182,147.139,4.15337
China,CHN,1989,90.964,151.5895,4.1922946
China,CHN,1990,92.5553,177.5397,4.3437
China,CHN,1991,93.5208,178.3789,4.6587605
China,CHN,1992,93.1602,176.557,5.205396
China,CHN,1993,92.7847,171.9077,5.538752
China,CHN,1994,93.015,167.1082,6.366782
